A plant which thrives in grasslands, particularly on chalk and limestone soils.
A plant which can be found in meadows, pastures, and other grassy areas.
A plant which is native to Europe, including the British Isles.
A plant which can also be found in North Africa and western Asia.
A plant which prefers slightly acidic to alkaline soils.
A plant which can be found in areas with a cool, temperate climate.
A plant which is often found in areas of unimproved grassland, meaning areas that have not been agriculturally enhanced with fertilizers.
A plant which can be found in areas with full sun to partial shade.
A plant which can be found in areas with well-drained soil.
A plant which can be found in areas with a high water table in winter and spring.
A plant which can be found in areas where the soil is not too dry in summer.
A plant which can be found in areas with a low nutrient level in the soil.
A plant which can be found in areas with a high level of calcium in the soil.
A plant which can be found in areas with a low level of nitrogen in the soil.
A plant which can be found in areas with a high level of phosphorus in the soil.
A plant which can be found in areas with a high level of potassium in the soil.
A plant which can be found in areas with a high level of magnesium in the soil.
A plant which can be found in areas with a high level of sulfur in the soil.
A plant which can be found in areas with a high level of iron in the soil.
A plant which can be found in areas with a high level of manganese in the soil.
A plant which can be found in areas with a high level of zinc in the soil.
A plant which can be found in areas with a high level of copper in the soil.
A plant which can be found in areas with a high level of molybdenum in the soil.
A plant which can be found in areas with a high level of boron in the soil.
A plant which can be found in areas with a high level of chlorine in the soil.
